nama_region,nama_negara,tahun,jumlah_proyek,nilai_investasi
"Amerika","USA",2000,54,243.1
"Amerika","Kanada",2000,13,2.4
"Amerika","Amerika lainnya",2000,4,9
"Eropa","Belgia",2000,1,5.9
"Eropa","Denmark",2000,6,37.1
"Eropa","Perancis",2000,27,64.7
"Eropa","Italia",2000,16,7.9
"Eropa","Belanda",2000,43,1159.3
"Eropa","Norwegia",2000,2,1.6
"Eropa","Jerman",2000,28,959.5
"Eropa","Inggris",2000,79,3645.5
"Eropa","Swiss",2000,5,42.2
"Eropa","Eropa Lainnya",2000,15,14.8
"Asia","Jepang",2000,93,1954.4
"Asia","Korea Selatan",2000,287,690
"Asia","Hongkong",2000,13,105.4
"Asia","Taiwan",2000,73,131.2
"Asia","Singapura",2000,218,536.4
"Asia","India",2000,31,59
"Asia","Asia Lainnya",2000,159,346.4
"Australia","Australia",2000,83,150.2
"Australia","Selandia Baru",2000,3,11.8
"Australia","Australia lainnya",2000,,
"Afrika","Nigeria",2000,0,0
"Afrika","Afrika Lainnya",2000,26,464
"Gabungan Negara","Gabungan Negara",2000,245,4778.2
"Amerika","USA",2001,37,72.8
"Amerika","Kanada",2001,5,8.4
"Amerika","Amerika lainnya",2001,2,.3
"Eropa","Belgia",2001,1,.2
"Eropa","Denmark",2001,3,17.9
"Eropa","Perancis",2001,21,14.3
"Eropa","Italia",2001,13,3.1
"Eropa","Belanda",2001,36,88.7
"Eropa","Norwegia",2001,3,1.8
"Eropa","Jerman",2001,32,42.6
"Eropa","Inggris",2001,73,722.9
"Eropa","Swiss",2001,3,11.7
"Eropa","Eropa Lainnya",2001,15,19.9
"Asia","Jepang",2001,98,772
"Asia","Korea Selatan",2001,285,369.3
"Asia","Hongkong",2001,15,39.7
"Asia","Taiwan",2001,63,74.1
"Asia","Singapura",2001,157,1143
"Asia","India",2001,28,6.6
"Asia","Asia Lainnya",2001,172,9805.2
"Australia","Australia",2001,48,255.5
"Australia","Selandia Baru",2001,0,0
"Australia","Australia lainnya",2001,,
"Afrika","Nigeria",2001,3,.4
"Afrika","Afrika Lainnya",2001,28,559.7
"Gabungan Negara","Gabungan Negara",2001,192,1025.8
"Amerika","USA",2002,37,467.6
"Amerika","Kanada",2002,4,7.2
"Amerika","Amerika lainnya",2002,1,6
"Eropa","Belgia",2002,2,7.1
"Eropa","Denmark",2002,2,.8
"Eropa","Perancis",2002,17,262.6
"Eropa","Italia",2002,4,1.8
"Eropa","Belanda",2002,26,243.9
"Eropa","Norwegia",2002,2,1.8
"Eropa","Jerman",2002,15,35.8
"Eropa","Inggris",2002,76,719.9
"Eropa","Swiss",2002,10,74.3
"Eropa","Eropa Lainnya",2002,14,10.1
"Asia","Jepang",2002,79,510.5
"Asia","Korea Selatan",2002,228,369.8
"Asia","Hongkong",2002,12,1711.9
"Asia","Taiwan",2002,35,51.8
"Asia","Singapura",2002,155,3328.1
"Asia","India",2002,34,5.1
"Asia","Asia Lainnya",2002,135,201.4
"Australia","Australia",2002,40,232.2
"Australia","Selandia Baru",2002,5,.8
"Australia","Australia lainnya",2002,,
"Afrika","Nigeria",2002,3,.3
"Afrika","Afrika Lainnya",2002,27,875.2
"Gabungan Negara","Gabungan Negara",2002,178,663.1
"Amerika","USA",2003,26,173.5
"Amerika","Kanada",2003,3,73.7
"Amerika","Amerika lainnya",2003,5,132.8
"Eropa","Belgia",2003,1,.1
"Eropa","Denmark",2003,2,1.6
"Eropa","Perancis",2003,10,5.7
"Eropa","Italia",2003,9,1.8
"Eropa","Belanda",2003,23,99.4
"Eropa","Norwegia",2003,1,2.1
"Eropa","Jerman",2003,15,170.8
"Eropa","Inggris",2003,73,966.1
"Eropa","Swiss",2003,2,.3
"Eropa","Eropa Lainnya",2003,14,16.2
"Asia","Jepang",2003,65,1252.2
"Asia","Korea Selatan",2003,173,122.1
"Asia","Hongkong",2003,17,169.5
"Asia","Taiwan",2003,37,136.7
"Asia","Singapura",2003,151,518.9
"Asia","India",2003,23,6.4
"Asia","Asia Lainnya",2003,137,455.7
"Australia","Australia",2003,33,125.4
"Australia","Selandia Baru",2003,1,.2
"Australia","Australia lainnya",2003,,
"Afrika","Nigeria",2003,2,.2
"Afrika","Afrika Lainnya",2003,18,4462
"Gabungan Negara","Gabungan Negara",2003,183,4313.8
"Amerika","USA",2004,24,133.2
"Amerika","Kanada",2004,4,1.4
"Amerika","Amerika lainnya",2004,5,71.7
"Eropa","Belgia",2004,6,9.5
"Eropa","Denmark",2004,2,.3
"Eropa","Perancis",2004,12,9.1
"Eropa","Italia",2004,14,10.3
"Eropa","Belanda",2004,34,258.7
"Eropa","Norwegia",2004,3,3
"Eropa","Jerman",2004,21,29.8
"Eropa","Inggris",2004,80,1317.2
"Eropa","Swiss",2004,7,299
"Eropa","Eropa Lainnya",2004,21,21
"Asia","Jepang",2004,74,1683.4
"Asia","Korea Selatan",2004,209,402.7
"Asia","Hongkong",2004,12,20.1
"Asia","Taiwan",2004,40,68.6
"Asia","Singapura",2004,150,576.5
"Asia","India",2004,27,66.7
"Asia","Asia Lainnya",2004,169,3614.1
"Australia","Australia",2004,39,481.2
"Australia","Selandia Baru",2004,5,107.4
"Australia","Australia lainnya",2004,,
"Afrika","Nigeria",2004,1,.1
"Afrika","Afrika Lainnya",2004,19,360.9
"Gabungan Negara","Gabungan Negara",2004,212,733.9
"Amerika","USA",2005,44,88.6
"Amerika","Kanada",2005,1,3.9
"Amerika","Amerika lainnya",2005,4,50.8
"Eropa","Belgia",2005,4,6.8
"Eropa","Denmark",2005,0,0
"Eropa","Perancis",2005,15,10.3
"Eropa","Italia",2005,4,.6
"Eropa","Belanda",2005,33,920.5
"Eropa","Norwegia",2005,0,0
"Eropa","Jerman",2005,20,18.8
"Eropa","Inggris",2005,70,1292.9
"Eropa","Swiss",2005,8,94.7
"Eropa","Eropa Lainnya",2005,17,18.7
"Asia","Jepang",2005,145,1144.3
"Asia","Korea Selatan",2005,101,429.5
"Asia","Hongkong",2005,14,396
"Asia","Taiwan",2005,31,47.9
"Asia","Singapura",2005,107,2150.5
"Asia","India",2005,10,2.8
"Asia","Asia Lainnya",2005,64,146.2
"Australia","Australia",2005,30,39.6
"Australia","Selandia Baru",2005,6,5.2
"Australia","Australia lainnya",2005,0,0
"Afrika","Nigeria",2005,0,0
"Afrika","Afrika Lainnya",2005,12,944.1
"Gabungan Negara","Gabungan Negara",2005,168,1104.2
"Amerika","USA",2006,32,65.8
"Amerika","Kanada",2006,4,1.4
"Amerika","Amerika lainnya",2006,6,86.1
"Eropa","Belgia",2006,6,1.4
"Eropa","Denmark",2006,1,.5
"Eropa","Perancis",2006,120,104.9
"Eropa","Italia",2006,7,1.7
"Eropa","Belanda",2006,24,35.2
"Eropa","Norwegia",2006,3,11.8
"Eropa","Jerman",2006,17,15
"Eropa","Inggris",2006,49,660.5
"Eropa","Swiss",2006,6,61.6
"Eropa","Eropa Lainnya",2006,11,3.2
"Asia","Jepang",2006,113,902.8
"Asia","Korea Selatan",2006,140,475.7
"Asia","Hongkong",2006,15,187.9
"Asia","Taiwan",2006,36,63.5
"Asia","Singapura",2006,83,508.8
"Asia","India",2006,15,88.4
"Asia","Asia Lainnya",2006,61,451.6
"Australia","Australia",2006,23,9
"Australia","Selandia Baru",2006,0,0
"Australia","Australia lainnya",2006,0,0
"Afrika","Nigeria",2006,0,0
